membership_id,privilege_id,role_id,effective_start_date,effective_end_date
300000139173268,300000139140743,300000139131270,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173269,300000139142937,300000139131270,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173270,300000139139342,300000139131270,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173271,300000139140843,300000139127346,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173272,300000139138402,300000139127346,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173273,300000139136930,300000139127346,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173274,300000139142766,300000139127346,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173275,300000139142768,300000139135146,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173276,300000139137119,300000139135146,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173277,300000139141310,300000139135146,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173278,300000139143217,300000139135146,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173279,300000139139101,300000139135146,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173280,300000139138113,300000139135146,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173281,300000139138991,300000139135146,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173282,300000139142608,300000139135146,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173283,300000139141737,300000139135145,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173284,300000139142498,300000139127348,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173285,300000139142581,300000139127347,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173286,300000139141749,300000139127347,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173287,300000139138387,300000139133194,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173288,300000139140288,300000139133194,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173289,300000139142389,300000139133194,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173290,300000139139342,300000139133194,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173291,300000139142373,300000139133194,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173292,300000139141159,300000139133196,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173293,300000139138800,300000139133196,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173294,300000139140474,300000139133196,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173299,300000139138701,300000139135148,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173300,300000139139281,300000139135148,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173301,300000139141488,300000139135148,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173302,300000139142844,300000139135148,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
300000139173303,300000139138824,300000139135148,1970-01-01T00:00:00.000+00:00,2025-03-13T04:59:51.000+00:00
