description,name,privilege_id,code,app_id,effective_start_date,effective_end_date
Allows analysis of incentive compensation disputes.,Manage Incentive Compensation Dispute,300000139142352,CN_MANAGE_INCENTIVE_COMPENSATION_DISPUTE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows managing of geographic entities, such as country, state, province, and city. Allows the managing of geography hierarchy structure and validations.",Manage Trading Community Geography,300000139142373,HZ_MANAGE_TRADING_COMMUNITY_GEOGRAPHY_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing of the favorite account tab in customer picker,View Favorite Accounts,300000139142532,ZCM_VIEW_FAVORITE_ACCOUNT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows recording cycle count transactions, viewing cycle count sequence details, and viewing cycle count definitions using web services.",Record Cycle Count by Web Service,300000139142552,INV_RECORD_CYCLE_COUNT_WEB_SERVICE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows definition of plan primary care provider.,Define Plan Primary Care Provider,300000139142574,BEN_DEFINE_PLAN_PRIMARY_CARE_PROVIDER_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows update of positions.,Update Position,300000139142420,PER_UPDATE_POSITION_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Load time card information, including dates, hours, and rate definition details, for payroll processing.",Load Payroll Time Card Batches,300000139142421,PAY_LOAD_TIME_CARD_BATCHES_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows defining and managing of sales territory lookups, profile options, flexfields, and dimension data.",Manage Sales Territory Setup,300000139142465,MOT_MANAGE_SALES_TERRITORY_SETUP_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows the management of resource skills information. If assigning, also assign the ability to view the trading community resource skills.",Manage Trading Community Resource Skills,300000139142663,HZ_MANAGE_TRADING_COMMUNITY_RESOURCE_SKILLS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
View assets owned by a customer.,View Customer Asset,300000139142533,ZSP_VIEW_CUSTOMER_ASSET_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing of a person's portrait page.,View Nonworker Portrait,300000139142553,PER_VIEW_NONWORKER_PORTRAIT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
,Create Withholding Tax Jurisdiction,300000139142445,ZX_CREATE_WHT_TAX_JURISDICTION_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows adding or removing of leads from the opportunity.,Manage Opportunity Leads,300000139142107,MOO_MANAGE_OPPORTUNITY_LEADS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing of the sales party notes.,View Sales Party Note,300000139142264,ZCM_VIEW_SALES_PARTY_NOTE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows the export of any summary level forecast information that is viewable from the normal forecasting application.,Export Sales Forecast Participant,300000139142310,ZSF_EXPORT_SALES_FORECAST_PARTICIPANT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows creation and update of the legal entity contact information.,Manage Legal Entity Contact Information,300000139142201,XLE_MANAGE_LEGAL_ENTITY_CONTACT_INFORMATION_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing of planning supply availability options.,View Planning Supply Availability Options,300000139142000,MSP_VIEW_PLANNING_SUPPLY_AVAILABILITY_OPTIONS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Grants access to use Page Composer to configure task flows in Sales Forecasting Management, where available.",Configure Sales Forecasting Management UI,300000139142063,ZSF_CUSTOMIZE_SALES_FORECASTING_MANAGEMENT_UI_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
,Restore Trading Community Organization Contact Preference,300000139142086,HZ_RESTORE_TRADING_COMMUNITY_ORGANIZATION_CONTACT_PREFERENCE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows for the viewing of the applications co-existence configuration setup.,View Applications Coexistence Configuration Setup,300000139142132,GL_VIEW_APPLICATIONS_CO_EXISTENCE_CONFIGURATION_SETUP_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows submission of the Transaction Encryption process.,Submit Transaction Encryption Process,300000139141068,IBY_SUBMIT_TRANSACTION_ENCRYPTION_PROCESS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing of opportunity sales team information.,View Opportunity Team,300000139141092,MOO_VIEW_OPPORTUNITY_TEAM_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows managing of an Idea - creating and updating,Manage Product Idea,300000139141137,ACN_MANAGE_PRODUCT_IDEA_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows the export of customer account contact information.,Export Customer Account Contact,300000139141159,HZ_EXPORT_CUSTOMER_ACCOUNT_CONTACT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows submission of the Group Asset Detail report, which displays the group and its member asset balances for the specified fiscal year.",Submit Group Fixed Asset Detail Report,300000139141203,FA_SUBMIT_GROUP_FIXED_ASSET_DETAIL_REPORT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows assignment of roles to users.,Assign Roles to User,300000139141045,PER_ASSIGN_ROLES_TO_USER_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
